Species Code,Species Name,Scientific Name
AD,Alternate-leaved Dogwood,Cornus alternifolia
AL,Speckled Alder,Alnus incana
AP,Apple,Malus domestica
AS,American Sycamore,Platanus occidentalis
BA,Black Ash,Fraxinus nigra
BB,Black Birch,Betula lenta
BC,Black Cherry,Prumus serotina
BE,Beech,Fagus grandifolia
BG,Black Gum,Nyssa sylvatica
BH,Bitternut Hickory,Carya Cordiformis
BL,Black Locust,Robinia pseudoacacia
BN,Black Walnut,Juglans nigra
BO,Black Oak,Quercus velutina
BS,Black Spruce,Picea mariana
BT,Buckthorn,Rhamnus sp.
BU,Butternut,Juglans cinerea
BW,Basswood,Tilia americana
BX,Box Elder (Ash Maple),Acer negundo
CC,Choke Cherry,Prunus virginiana
CH,Chestnut,Castanea dentata
CO,Chestnut Oak,Quercus prinus
CT,Catalpa,Catalpa speciosa
CW,Cottonwood,Populus deltoides
EB,Black Elderberry,Sambucus Nigra
EC,Exotic Cherry,Prunus sp.
EL,American Elm,Ulmus americana
ES,Slippery Elm,Ulmus fulva
FD,Flowering Dogwood,Cornus fulva
GA,Green Ash,Fraxinus pennsylvanica
GB,Gray Birch,Betula populifolia
GD,Gray Dogwood,Cornus racemosa
GK,Ginkgo,Ginkgo biloba
HA,Hawthorn,Crataegus monogyna
HL,Honey Locust,Gleditsia triacanthos
HO,Hornbeam,Carpinus caroliniana
IW,Ironwood,Ostrya virginiana
KC,Kentucky Coffee Tree,Gynocladus Dioicus .
LA,Largetoothed Aspen,Populus grandidentata
LL,Lilac,Syringa vulgaris
LR,Larch,Larix laricina
MA,Mountain Ash,Sorbus americana
MC,Manchurian Maple,Acer mandshuricum
MM,Mountain Maple,Acer spicatum
MR,Red Mulberry,Morus rubra
MS,Sycamore Maple,Acer pseudoplatanus
NM,Norway Maple,Acer platanoides
NS,Norway Spruce,Picea abies
OO,Osage Orange,Maclura pomifera
OS,Swamp White Oak,Quercus bicolor
PC,Pin Cherry,Prunus pensylvanica
PE,Pear,Pyrus sp.
PH,Pignut Hickory,Carya glabra
PO,Pin Oak,Quercus palustris
PP,Pitch Pine,Pinus serutina
RB,River Birch,Betula nigra
RE,Red Bud,Cercis canadensis
RM,Red Maple,Acer rubrum
RO,Red Oak,Quercus rubrum
RP,Red Pine,Pinus resinosa
RS,Red Spruce,Picea rubens
SA,Sassafras,Sassafras albidum
SB,Serviceberry (Shadbush),Amelanchier alnifolia
SC,Scrub Oak,Quercus ilicifolia
SE,Siberian Elm,Ulmus pumila L
SG,Sweet Gum,Liquidamber Styraciflua
SH,Shagbark Hickory,Carya ovata
SL,Slippery Elm,Ulmus rubra
SM,Sugar Maple,Acer saccharum
SO,Scarlet Oak,Quercus coccinnea
SP,Scotch Pine,Pinus sylvestris
SR,Star Magnolia,Magnolia stellata
SS,Staghorn Sumac,Rhus typhina
ST,Striped Maple,Acer pensylvanicum
SV,Silver Maple,Acer saccharinum
SW,Japanese Stewartia,Stewartia pseudocamellia
TA,Trembling Aspen,Populus tremuloides
TP,Tulip Popular,Liriodendron tulipifera
TS,Hemlock,Tsuga canadensis
VM,Virginia (Sweetbay) Magnolia,Magnolia Virginiana
WA,White Ash,Fraxinus americana
WB,White Birch,Betula papyrifera
WH,Witch Hazel,Hamamelis virginiana
WI,Willow,Salix sp.
WK,Willow Oak,Quercus phellos
WM,White Mulberry,Morus alba
WO,White Oak,Quercus alba
WP,White Pine,Pinus strobus
WS,White Spruce,Picea glauca
X1,Unidentified,NA
YB,Yellow Birch,Betula alleghaniensis
YW,Yellow Wood,Zanthoxylum americanum
